Address,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,YearBuilt,BuiltCode,YearAlter1,YearAlter2
16 WEST 12 STREET,5,1,1,25,103.25,25,49,1920,,2004,0
192 MOTT STREET,6,30,33,31.92,94.08,32,92,1900,E,1987,0
1299 1 AVENUE,4,7,8,25.42,77,25.42,70,1910,,0,0
453 WEST 17 STREET,4,0,13,50,92,50,90,1950,E,2004,0
559 WEST 171 STREET,5,36,36,75,95,72,81,1912,E,0,0
408 EAST 13 STREET,2.5,2,3,34.17,53.58,34.17,53.58,1899,E,0,0
100 WEST 124 STREET,4,6,9,49.92,75,50,35,1900,E,1986,0
568 WEST 192 STREET,5,30,30,75,100,75,81,1926,E,1985,0
747 ST NICHOLAS AVENUE,4,14,15,18.75,100,19,70,1920,E,1988,1993
515 EAST 89 STREET,6,70,70,198.17,100.67,198,87,1942,,1988,0
111 WEST 28 STREET,7,10,14,42.83,98.75,43,96,1920,E,2005,2005
319 WEST 145 STREET,2,0,0,225,2278.5,48,182.5,1937,,0,0
1885 3 AVENUE,5,16,18,26.83,100,26,80,1940,E,1988,0
213 WEST 82 STREET,3,0,1,50,100,32,82,1927,,0,0
422 EAST 120 STREET,4,4,4,18.75,100.92,18,54,1900,E,1988,0
251 WEST 39 STREET,17,0,0,73.5,98.75,73.5,98.75,1925,,0,0
20 EAST 127 STREET,3,11,11,20,99.92,20,45,1909,E,0,0
100 HAVEN AVENUE,31,219,236,100,176,316,62,1970,,1988,0
336 WEST 23 STREET,5,2,3,25,98.75,25,56,1910,E,2006,2006
172 EAST 75 STREET,5,2,3,18,102.17,18,96,1910,E,1981,2013
608 WEST 177 STREET,5,52,52,100,99.92,100,88,1923,,0,0
147 WEST 87 STREET,3,2,2,16.67,100.67,16.67,50,1899,E,0,0
55 WEST 19 STREET,5,1,5,28,92,28,89,1925,E,0,0
983 AMSTERDAM AVENUE,5,10,11,25,100,25,88,1920,E,1980,2005
2037 1 AVENUE,6,11,12,25,100,25,85,1900,E,1994,0
644 EAST 6 STREET,0,0,0,64,97,0,0,0,,0,0
303 CANAL STREET,3,0,2,24.42,35.5,24,36,1910,E,0,0
120 WEST 118 STREET,3,0,1,20,100.92,20,74,1910,E,0,0
452 WEST 44 STREET,3,3,3,18.17,100.42,18.17,50,1899,E,0,0
129 EAST 90 STREET,5,10,11,27.5,100.67,26,84,1920,E,0,0
221 EAST 27 STREET,1,0,1,52,98.75,52,98,1920,,0,0
617 HUDSON STREET,4,3,4,18.67,53.17,19,36,1928,E,1975,0
233 HENRY STREET,6,24,24,46.17,87.5,46,73,1921,E,0,0
426 EAST 120 STREET,2,2,2,21,100.92,21,36.92,1899,E,0,0
180 THOMPSON STREET,7,64,64,50,100,50,80,1920,E,1978,0
196 ELDRIDGE STREET,4,54,54,320,177,150,50,1986,,0,0
469 WEST 57 STREET,5,30,32,60,100.42,60,70,1930,E,1975,0
7 EAST 47 STREET,6,0,7,25,100.42,25,92,1920,,0,0
1666 3 AVENUE,5,8,9,25,100,25,79,1910,,0,0
70 WEST 105 STREET,5,4,4,21.5,100.92,21.5,86,1900,E,0,0
170 EAST 111 STREET,3,3,3,18,100.92,18,46,1900,E,0,0
56 2 AVENUE,3,0,1,24,60,24,59,1910,E,0,0
50 WHITE STREET,5,4,6,37.67,100.83,38,93,1921,E,1981,2006
37 AVENUE D,6,16,18,35.25,81,35.25,73,1900,E,1992,0
305 WEST 76 STREET,4,2,2,21,76.08,21,64,1900,E,1985,1996
236 EAST 81 STREET,6,6,6,24.92,102.17,24.92,52,1910,,0,0
33 BEEKMAN PLACE,5,1,1,20,100,20,75,1910,E,0,0
500 8 AVENUE,12,0,28,172.5,94,171,120,1922,,1965,0
110 EAST 119 STREET,0,0,0,25,100.92,0,0,0,,0,0
231 EAST 53 STREET,5,13,16,27.33,100.42,27,86,1904,,0,0
163 EAST 78 STREET,4,1,1,36,102.17,36,38,1899,E,0,0
27 WEST 72 STREET,15.5,158,161,100,204.33,100,204,1924,,1953,1953
14 ST NICHOLAS PLACE,3,4,4,40.5,100,28,52,1899,E,1997,0
244 WEST 54 STREET,12,0,59,125,100.42,125,100,1911,,0,0
169 EAST 88 STREET,3,8,10,25,100.67,25,83,1920,E,1980,0
232 EAST 2 STREET,6,24,24,24,105.92,24,73,1910,E,1985,0
175 WATER STREET,30,0,30,197.73,131.73,0,0,1983,,0,0
158H BOWERY,4,0,1,16.67,100,16,95,1900,E,0,0
31 WEST 10 STREET,5,6,7,25.33,94.75,25,78,1900,E,0,0
269 WEST 122 STREET,4,3,3,20,100.92,20,46,2002,,0,0
1810 AMSTERDAM AVENUE,5,15,16,27,100,27,80,1910,,1992,0
114 EAST 7 STREET,5,28,30,50,90.83,25,52,1900,E,1987,0
842 GREENWICH STREET,2,0,1,69.42,92.58,69.42,92.58,1941,,2004,0
414 EAST 118 STREET,2,2,2,15.58,100.92,15.58,43,1901,E,0,0
522 EAST 74 STREET,3,0,1,25,102.17,25,82,1920,,2006,1992
38 WHITE STREET,5,5,6,25.08,128,25,124,1915,,1974,0
EAST 10 STREET,0,0,0,50,94.75,0,0,0,,0,0
258 WEST 71 STREET,3,8,8,16.67,100.42,17,54,1900,E,1987,0
2256 ADAM C POWELL BLVD,5,9,10,25,100,25,76,1910,,2011,0
163 FRONT STREET,10,0,2,25.42,162.5,25,158,1915,,0,0
161 WEST 129 STREET,3,3,3,19.75,99.92,19.75,42,2000,,0,0
1 CENTRE MARKET PLACE,4,1,1,17.42,59.17,17,59,1900,E,1986,2005
32 WEST 96 STREET,4,10,10,20,100.67,20,70,1910,E,1968,0
552 BROADWAY,6,4,14,74.83,200,74.83,200,1900,E,0,0
811 10 AVENUE,0,0,0,200.83,329.58,0,0,0,,0,0
247 WEST 131 STREET,3,3,3,18,99.92,18,50,1910,E,2001,0
614 WEST 136 STREET,5,20,20,54,99.92,54,91,1905,,1987,0
147 WEST 131 STREET,3,4,4,20,99.92,20,50,1900,E,2005,0
224 WEST 29 STREET,14,0,17,49.75,68.67,49.75,105,1926,,0,0
416 WEST 23 STREET,6,24,24,48.5,98.75,48.5,62,1900,E,0,0
553 WEST 144 STREET,5,21,21,52.5,99.92,52.5,86,1910,,1987,2006
3381 BROADWAY,6,37,44,99.92,125,95,109,1907,E,1986,0
125 CHAMBERS STREET,6.5,0,6,100.08,76.08,100,74,1920,,1950,0
42 EAST 64 STREET,4,3,3,17,100.42,17,65,1899,E,0,0
572 AVENUE OF THE AMER,4,0,4,29.83,65,30,65,1920,,0,0
247 WEST 109 STREET,5,15,15,25,100.92,25,86,1910,E,1986,0
196 7 AVENUE,6,77,85,123.42,120,123,120,1940,E,1987,0
317 WEST 104 STREET,3,8,8,20,100.92,20,70,1900,E,0,0
168 EAST 111 STREET,3,1,1,18,100.92,18,46,1900,E,0,0
329 1 AVENUE,2,0,2,45.67,80,45.67,80,1910,,1969,2012
420 WEST 147 STREET,3,1,1,20,99.92,20,60,1899,E,0,0
136 SULLIVAN STREET,7,6,6,25,100,0,0,1994,,0,0
57 WEST 9 STREET,4,3,3,22.17,92.25,22.17,46,1899,E,0,0
2013 AMSTERDAM AVENUE,6,23,26,49.92,98.42,45,102,1920,E,1983,0
828 7 AVENUE,13,129,141,150.58,100,150,89,1916,E,1988,0
303 WEST 138 STREET,3,1,1,16.33,99.92,16.33,50.92,1901,E,0,0
318 WEST 11 STREET,3,2,2,20,41,20.67,40,1899,E,0,0
53 BEACH STREET,6,0,1,50.33,99.92,50,95,1915,,0,0
9 EAST 10 STREET,5,10,10,24.42,94.75,25,81,1900,E,1980,0
23 STUYVESANT STREET,5,3,3,16,62.67,16,35,1899,E,0,0
207 WEST 123 STREET,3,2,2,15.58,100.92,16,50,1910,E,2001,0
237 WEST 18 STREET,5,20,22,25,92,25,84,1930,E,1989,0
85 WEST 119 STREET,3,3,3,18,100.92,18,55,1899,E,0,0
280 WEST 127 STREET,3,4,4,15,99.92,15,48,1910,E,0,0
42 8 AVENUE,17,127,129,89.42,116.42,89,100,1962,,1984,0
45 WEST 84 STREET,4,1,1,18,102.17,18,66,1900,E,2010,2010
429 EAST 119 STREET,2,3,3,16.67,100.92,16.67,45,1899,E,2003,0
101 VERMILYEA AVENUE,5,24,24,100,50,90,50,1914,,0,0
521 WEST 48 STREET,7,15,16,25,100.42,25,100.42,1940,E,2012,0
22 ST MARKS PLACE,5,22,24,26,120,26,104,1900,E,1984,0
613 WEST 158 STREET,4,6,6,73.58,45.08,37,39,1930,E,1986,0
744 GREENWICH STREET,6,5,5,51.08,82.25,0,0,2006,,0,0
175 WEST 137 STREET,5,0,1,75,99.92,0,0,1931,,0,0
161 WEST 61 STREET,2,0,1,109.5,100.42,95,65,1987,,0,0
318 EAST 112 STREET,8,26,26,50,100.92,50,63,2013,,0,0
110 WEST 73 STREET,4,19,19,37,102.17,19,66,1910,E,1985,0
212 WEST 108 STREET,5,30,30,50,100.92,50,87,1900,E,1987,2009
78 HORATIO STREET,3,2,2,49.62,32.75,49.63,20.75,1888,E,2008,0
2280 8 AVENUE,12,88,91,124.92,100,125,100,2010,,0,0
21 9 AVENUE,4,0,2,77.51,66.83,77.51,66.83,1920,E,2010,2010
421 WEST 20 STREET,0,0,1,38.14,68.54,0,0,1827,,0,0
221 EAST 26 STREET,5,11,11,25,98.75,25,60,1920,,1959,0
335 BLEECKER STREET,3,2,4,36.75,29.5,36,29,1900,E,1987,0
327 WEST 46 STREET,0,0,0,122.33,100.42,0,0,0,,0,0
219 WEST 106 STREET,5,12,12,33.33,100.92,33,87,1925,E,0,0
144 WEST 127 STREET,3,3,3,15.5,99.92,16,52,1910,E,1988,1999
207 EAST 125 STREET,3,0,1,25,99.92,25,100,1910,E,0,0
97 WOOSTER STREET,7,6,7,25,75,25,74,1900,E,0,0
57 HORATIO STREET,3,3,3,20,50,20,42.91,1910,,2002,0
30 WEST 18 STREET,20,98,100,75,92,75,92,2005,,0,0
149 COLUMBUS AVENUE,7,0,1,100.5,200,94,163,1978,,0,0
129 WEST 122 STREET,3,8,8,19.25,100.92,19,60,1910,E,1987,0
1675 MADISON AVENUE,0,0,0,15.25,70,0,0,0,,0,0
74 MOTT STREET,5,16,19,25,94,25,89,1915,,1987,0
339 EAST 5 STREET,5,8,9,25,97,25,52,1900,E,0,0
133 EAST 30 STREET,5,21,22,40,98.75,40,88,1900,E,0,0
441 LENOX AVENUE,4,0,1,33.42,74,33,72,1910,E,0,0
137 BOWERY,4,0,4,25,107.83,25,106,1900,E,2006,0
87 BEDFORD STREET,5,5,5,18.5,51.33,19,40,1910,E,1982,0
79 WASHINGTON SQUARE E,7,120,122,112.42,100,114,100,1900,E,1986,0
57 ST MARKS PLACE,4,1,2,25,98.83,25,82,1920,E,0,0
4 EAST 46 STREET,5,0,3,30,100.42,30,99,1939,,1985,0
123 WEST 132 STREET,3,1,1,17,99.92,17,50,1910,E,0,0
2101 5 AVENUE,4,10,10,32,73,32,50,1880,,2005,0
1441 3 AVENUE,24,61,61,76.58,101.67,0,0,1985,,0,0
214 EAST 32 STREET,3,8,8,18.75,98.75,19,48,1910,,0,0
79 AVENUE A,4,6,8,27.33,74.25,27,64,1920,E,0,0
165 EAST 87 STREET,5,18,20,26.67,100.67,27,83,1910,E,0,0
460 WEST 145 STREET,3,6,6,16,99.92,16,52,1920,,1968,0
138 WEST 74 STREET,4,10,10,20,102.17,20,99,1910,E,0,0
246 EAST 30 STREET,4,3,3,17.5,88.42,17.42,50,1901,E,0,0
109 PRINCE STREET,5,3,5,50,95,0,0,1900,,0,0
62 READE STREET,5,0,4,25.67,61.83,26,61,1915,,1989,0
1998 3 AVENUE,4,3,5,20,95,20,52,1910,E,1989,0
10 MITCHELL PLACE,13,99,101,126,80.83,126,59,1931,,1982,0
216 EAST 116 STREET,1,0,1,46,100.92,46,100,1925,E,0,0
255 FT WASHINGTON AVENUE,6,36,36,94.08,103.83,91,91,1946,,0,0
2008 5 AVENUE,4,5,5,19.5,99.33,20,69,1910,E,1988,0
352 WEST 15 STREET,6,36,36,50,103.25,50,86,1911,E,0,0
164 EAST 124 STREET,0,0,0,21.33,100.92,0,0,0,,0,0
141 HENRY STREET,4,0,1,22.33,100,22,96,1900,E,1985,0
121 EAST 97 STREET,5,24,24,25,100.92,25,90,1920,E,1957,0
720 LEXINGTON AVENUE,4,0,1,20.42,68.75,20,69,1910,,2003,2007
4 RIVERVIEW TERRACE,3,1,1,16.67,75,16.67,75.83,1899,E,2009,0
421 EAST 70 STREET,5,12,12,25,55.5,25,44,1940,E,1986,0
15 EAST 80 STREET,5,1,1,21,102.17,21,110,1901,E,2003,0
42 1/2 ST MARKS PLACE,4,2,3,19,35,19,35,1800,E,0,0
150 EAST 120 STREET,8,125,125,145,201.83,61,190,1984,E,1998,0
409 3 AVENUE,2,0,2,24.08,90,24,90,1920,E,2008,0
676 AVENUE OF THE AMER,2,0,2,24.67,95,25,93,1910,E,0,0
34 EAST 38 STREET,5,10,10,25,98.75,25,93,1925,,1987,0
37 BRADHURST AVENUE,3,2,2,18.17,72.67,18.17,42,1901,E,1998,0
155 WEST 87 STREET,3,10,10,16.67,100.67,17,48,1900,E,1983,0
37 MURRAY STREET,6,8,10,50.17,75.21,50,90,1969,,0,0
231 BOWERY,6,3,4,51.58,174.5,50,175,1920,,0,0
341 WEST 48 STREET,3,4,4,18,100.42,18,48,1920,,0,0
9 PARK AVENUE,8,0,1,40,100,40,100,1965,,0,0
160 WEST END AVENUE,29,508,514,135,420,0,0,1963,,0,0
48 WEST 11 STREET,3,3,3,21.75,94.75,21.75,49,1899,E,0,0
422 WEST 55 STREET,4,2,2,20.83,78.5,20.83,52,1910,E,0,0
250 BROOME STREET,6,22,24,30.92,87.5,31,75,1920,,0,0
44 BARROW STREET,3,0,1,22.33,97.25,22,58,1900,E,0,0
89 LENOX AVENUE,11,161,161,201.83,475,106,184,1981,,0,0
536 EAST 82 STREET,6,30,30,40,102.17,40,84,1910,E,1988,0
SUFFOLK STREET,0,0,0,23.83,100,0,0,0,,0,0
40 EAST 72 STREET,5,16,18,45.5,102.17,46,63,1930,E,0,0
209 EAST 23 STREET,6,0,1,73.17,98.75,73,93,1980,,0,0
210 WEST 147 STREET,6,41,41,108.33,99.92,108,86,1920,E,1987,1994
310 WEST 81 STREET,3,6,6,20,102.17,20,68,1950,E,0,0
520 WEST 44 STREET,2,0,1,25,100.42,25,96,1910,E,0,0
175 AUDUBON AVENUE,5,22,24,58,95,57,84,1912,,1981,0
592 5 AVENUE,11,0,3,45,125,45,125,1911,,1964,0
47 WEST 126 STREET,3,4,4,20.83,99.92,21,48,1909,,0,0
129 EAST 91 STREET,3,2,2,17.5,100.67,17.5,50,1901,E,0,0
72 WEST 120 STREET,3,6,6,19,100.92,19,71,1909,,0,0
55 WEST 137 STREET,7,0,1,100,99.92,0,0,2001,,0,0
462 WEST 142 STREET,4,7,7,17,99.92,17,71,1920,,1988,0
205 EAST 77 STREET,14,113,113,93.33,102.17,93,66,1962,,0,0
1502 3 AVENUE,4,0,4,51.08,102.17,51,102,1923,,0,0
318 WEST 101 STREET,5,10,10,17,100.92,17,76,1925,,0,0
335 WEST 19 STREET,4,44,44,49.75,92,50,72,1938,,0,0
475 WEST 150 STREET,3,2,3,25,99.92,25,50.92,1910,E,0,0
189 GRAND STREET,3,2,3,20.08,74.33,20,55,1900,E,0,0
141 WOOSTER STREET,8,28,33,75,100,75,87,1910,E,1988,2004
501 EAST 23 STREET,1,0,1,257.67,90,10,20,2012,,2011,0
223 WEST 113 STREET,3,4,5,16.67,100.92,16,60,1910,E,0,0
235 EAST 24 STREET,6,24,25,29.33,98.75,29,86,1920,,1986,0
196 EDGECOMBE AVENUE,3,2,2,18.25,97.08,18.25,42,1901,E,0,0
206 WEST 15 STREET,4,1,1,24.75,86.5,24.75,86.5,1901,E,2009,0
530 EAST 73 STREET,50,414,414,120.5,209,50,28,1986,,0,0
244 CANAL STREET,4,0,5,23,60.33,23,60,1915,,0,0
112 WEST 78 STREET,4,2,2,16.67,99.08,16.67,56.17,1910,E,0,0
2591 FREDRICK DOUGLASS BL,5,8,10,19.92,75.33,19,71,1920,,1992,0
51 EAST 10 STREET,4,8,11,28,94.75,28,55,1900,,0,0
54 WEST 132 STREET,4,0,1,70.83,99.92,55,93,1910,,0,0
119 EAST 28 STREET,0,0,1,87.5,98.75,0,0,0,,0,0
242 EAST 58 STREET,6,2,3,20,100.42,20,94,1901,E,2007,0
33 CORNELIA STREET,1,0,1,21.08,97.5,18,45,1900,,0,0
58 WEST 8 STREET,5,28,32,66,113.75,66,54,1900,E,1988,0
526 WEST 139 STREET,5,21,21,50,99.92,50,86,1910,E,1988,0
1179 BROADWAY,4,0,6,25,85.58,25,75,1940,E,1972,0
346 WEST END AVENUE,5,20,20,39.67,90,39.67,60,1920,E,0,0
336 EAST 73 STREET,5,38,38,50,102.17,50,81,1910,E,1989,0
313 WEST 80 STREET,4,1,1,16,102.17,16,50,1899,E,2008,0
174 EAST 112 STREET,1,0,2,96.33,100.92,49,100,1960,E,0,0
159 GRAND STREET,12,0,1,25.42,80,25.34,48.7,2002,,0,0
423 EAST 82 STREET,5,20,20,25,102.17,25,62,1905,E,1960,0
332 EAST 22 STREET,7,14,14,25,97.5,25,90,2008,,0,0
306 WEST 51 STREET,6,38,38,60,100.42,60,86,1945,E,1996,0
317 WEST 83 STREET,6,19,19,83.33,102.17,83,84,1927,,1984,0
9 EAST 128 STREET,4,3,3,20,99.92,20,63,1909,E,2006,0
242 WEST 121 STREET,3,1,1,16.67,100.92,16.67,52,1910,,0,0
3 SYLVAN TERRACE,2,2,2,20.67,34.5,20.67,25,1899,E,0,0
536 EAST 5 STREET,6,22,24,40,96.17,40,84,1929,E,1983,0
139-143 WEST 19 STREET,7,21,23,120.25,92,120,80,1909,,1980,0
57 COOPER STREET,4,6,6,18.63,100,18.63,49,1989,,1989,0
219 2 AVENUE,5,6,7,25.75,112.5,26,102,1920,,0,0
10 WEST 9 STREET,4,4,5,25,93.92,25,48,1800,E,0,0
140 ELDRIDGE STREET,5,8,12,24.33,88,25,53,1900,E,0,0
1827 2 AVENUE,5,12,13,25,80,25,62,1900,E,1988,0
554 WEST 168 STREET,2,0,1,50,100,0,100,1996,,1988,0
1156 2 AVENUE,4,4,5,20,75,20,63,1910,,1988,0
104 GREENE STREET,13,23,119,87.5,200,87,198,1910,E,2012,0
727 11 AVENUE,1,0,1,100.42,100,100,100,1950,E,1999,0
1680 MADISON AVENUE,7,135,135,201.83,270,196,208,1982,,0,0
250 EAST 52 STREET,4,0,1,15,100.42,15,100,1926,E,1984,0
425 EAST 118 STREET,4,3,3,21.5,100.92,22,62,1909,E,1976,2001
20 MORNINGSIDE AVENUE,6,109,109,100.92,200,99,93,1900,E,1982,0
301 PARK AVENUE,0,0,0,200.83,405,0,0,0,,0,0
125 RIVINGTON STREET,5,4,5,25.33,100,25,100,1920,E,0,0
120 EAST 78 STREET,6,2,2,18,102.17,18,55,1899,E,0,0
325 WEST 89 STREET,5,8,8,22,75.67,22,69,1920,E,0,0
706 EAST 5 STREET,0,0,0,25,96.17,0,0,0,,0,0
77 LEROY STREET,4,1,1,21.67,100,21.67,52,1901,E,2013,0
161 EDGECOMBE AVENUE,5,15,15,40,100,40,84,1920,,1987,1996
345 LEXINGTON AVENUE,4,3,4,20.42,99.75,20,51,1920,E,0,0
7 WEST 118 STREET,0,0,0,27.25,100.92,0,0,0,,0,0
167 CANAL STREET,5,0,13,41.83,75.08,42,75,1900,E,0,0
304 WEST 88 STREET,4,20,20,42,100.67,42,70,1921,,1976,0
575 8 AVENUE,23,0,28,98.75,100.42,99,100,1925,,0,0
143 WEST 72 STREET,4,0,4,18.5,102.17,19,94,1926,E,2007,2007
314 10 AVENUE,5,0,1,197.5,800,197.5,800,1992,,0,0
152 WEST 119 STREET,3,5,5,18,100.92,18,57,1920,,0,0
108 WEST 95 STREET,6,24,24,49.67,100.67,50,87,1910,E,1962,0
158 ELDRIDGE STREET,6,0,1,52.92,176.75,50,172,1996,,2004,2006
135 7 AVENUE,0,0,0,184,138.83,0,0,0,,0,0
220 EAST 63 STREET,14,193,195,200,138,200,126,1963,,1984,0
2298 1 AVENUE,2,0,1,25,66,25,65,1989,E,0,0
3861 BROADWAY,1,0,9,102.25,100,102,100,1922,,1970,0
132 EAST 36 STREET,5,1,1,16.5,74.08,17,49,1910,E,1999,1999
11 WEST 119 STREET,3,4,4,14,65.33,14,38,1909,,0,0
328 WEST 12 STREET,5,8,10,23,44.25,23,44,1900,E,0,0
521B EAST 85 STREET,5,10,10,25,102.17,25,65,1910,E,1984,0
303 WEST 111 STREET,5,15,15,25,100.92,25,88,1900,E,1991,0
1027 AVENUE OF THE AMER,4,5,6,19,60,19,60,1920,,1987,0
2153 2 AVENUE,4,3,4,25,79,25,50,1910,E,2002,0
89 BOWERY,9,0,1,25.08,126,25,110,2013,,0,0
226 EAST 6 STREET,5,19,19,25,97,25,85,1940,E,0,0
259 WEST 18 STREET,4,7,8,20,43.5,20,42,1930,E,1961,0
18 WOOSTER STREET,1.5,0,1,50,100,50,100,1963,,1965,2004
230 EAST 9 STREET,4,1,9,42,75,42,75,1920,,0,0
388 MANHATTAN AVENUE,5,10,10,36.75,82,36.75,54,1901,,1993,0
164 EAST 81 STREET,3,2,2,20,104.33,20,52,1899,E,0,0
21 EAST 70 STREET,5,0,2,22,100.42,22,78,1920,E,1989,0
518 WEST 149 STREET,3,3,3,15,99.92,15,52,1926,,2004,0
232 WEST 10 STREET,3,2,2,17.58,59.17,17.58,39,1899,E,0,0
162 EAST 118 STREET,1,0,1,33.33,100.92,33,87,1950,E,0,0
499 3 AVENUE,3,2,4,25.42,81.08,25.42,38,1950,E,0,0
161 WEST 4 STREET,4,6,7,20,114,20,114,1910,E,0,0
61 EAST 118 STREET,4,3,3,20,100.92,20,50,2001,,0,0
127 WEST 69 STREET,3,3,3,16.83,100.42,16.83,57,1901,E,0,0
504 WEST 171 STREET,5,20,20,43.75,95,43,80,1907,,0,0
609 WEST 51 STREET,7,0,2,150,200.83,150,135,1924,,1987,2000
156 WEST 130 STREET,3,3,3,18.75,99.92,19,49,1910,E,0,0
8 WEST 130 STREET,3,4,4,25,99.92,20,55,1910,,0,0
221 MADISON STREET,5,20,21,26.08,100.17,26,87,1920,E,1988,0
5 PINEHURST AVENUE,5,38,38,127.5,101.92,78,50,1950,E,1988,0
132 WEST 22 STREET,12,10,12,39.58,98.75,0,0,1913,,0,0
157 EAST 109 STREET,0,0,0,25,100.92,0,0,0,,0,0
307 EAST 93 STREET,5,15,15,25,100.67,25,58,1920,E,1988,2011
823 AVENUE OF THE AMER,4,1,4,20.08,64.5,20,58,1920,E,0,0
789 9 AVENUE,5,13,15,25,100,25,89,1901,E,1987,2006
67 WEST 83 STREET,4,6,6,16.67,102.17,17,51,1900,,0,0
311 1 AVENUE,4,9,11,23,80,23,75,1950,E,1958,0
326 EAST 13 STREET,5,22,22,26.33,103.25,26,81,1900,E,0,0
25 STUYVESANT STREET,5,1,1,16,59,16,35,1899,E,2012,0
MILLER HIGHWAY,0,0,0,200,523,0,0,0,,0,0
1141 PARK AVENUE,5,1,1,20.42,70,20,65,1920,E,2009,2005
564 AMSTERDAM AVENUE,5,18,20,26.5,100,27,85,1905,E,0,0
,0,0,0,0,0,0,0,0,,0,0
206 EAST 34 STREET,5,33,37,50,89.92,25,74,1920,E,2004,0
,0,0,0,0,0,0,0,0,,0,0
318 WEST 115 STREET,5,6,6,33.34,100.92,33.34,64.11,1900,E,0,2014
132 WEST 28 STREET,5,12,15,25,98.75,25,83,1901,E,0,0
2 5 AVENUE,20,343,350,290,172.33,278.17,171.83,1952,,0,0
124 BOWERY,5,0,37,49.83,100,49.83,100.33,1901,,1993,1995
1461 5 AVENUE,5,8,9,25.42,83,25,80,1921,E,2003,0
374 WEST 116 STREET,5,10,10,26.33,87,26.33,83,1900,,1992,0
15 WEST 54 STREET,4,0,5,25,100.42,25,99,1920,,1988,2005
941 WEST END AVENUE,12,47,47,75.92,100,76,92,1907,,1988,0
ALEX HAMILTON SQUARE,0,0,0,8.5,3.33,0,0,0,,0,0
25 DOWNING STREET,5,15,16,25,70,25,60,1900,E,1985,0
424 EAST 10 STREET,7,23,24,40.33,92.25,38,68,1950,E,2008,0
145 WEST 30 STREET,12,0,14,75,98.75,75,92,1913,,1989,2001
102 WEST 87 STREET,5,10,10,20,100.67,20,70,1910,E,1982,0
579 FT WASHINGTON AVENUE,5,64,64,125,100,125,86,1924,,1988,0
332 EAST 84 STREET,6,48,48,100,102.17,100,87,1920,E,1986,0
160 EAST 82 STREET,4,5,5,22,102.17,22,96,1935,,1987,0
81 RIVINGTON STREET,5,16,19,25,50,50,49,1900,E,1998,0
100 WEST 58 STREET,17,103,106,100,100.17,100,100,1926,E,2005,0
11 EAST 32 STREET,12,80,83,50,98.75,50,81,1910,E,1974,0
163 VARICK STREET,6,0,8,100,75,75,100,1925,,1987,0
4 PERRY STREET,3,5,5,22,95,22,57,1915,E,1985,0
,0,0,0,0,0,0,0,0,,0,0
533 EAST 87 STREET,5,10,10,25,100.67,25,73,1910,,1978,0
2129 1 AVENUE,0,0,0,25,75,0,0,0,,0,0
55 MARBLE HILL AVENUE,2.5,2,2,29,81.58,22,35,1901,E,0,0
117 EAST 31 STREET,4,1,2,21.08,98.75,21.08,98.75,1915,,0,0
130 7 AVENUE,7,5,6,103.08,78.08,103,78,2015,,0,0
351 WEST 71 STREET,4,9,9,18.75,102.17,19,85,1915,,0,0
2612 BROADWAY,9,137,138,45.92,125,45.92,109,1925,,2006,0
49 EAST 126 STREET,3,0,1,20,99.92,20,51,1905,E,1982,0
440 EAST 117 STREET,5,10,10,36.9,100.92,0,0,2004,,0,0
1947 ADAM C POWELL BLVD,5,11,11,40,100,40,89,1920,,1989,0
13 WEST 37 STREET,16,0,22,93,98.75,93,99,1920,,1986,0
105 WEST 74 STREET,4,10,10,20,102.17,20,71,1910,E,0,0
265 WEST 71 STREET,3,8,8,16,92.17,16,62,1900,,1988,0
453 F D R DRIVE,20,833,837,275.4,495.35,311,127,1955,,0,0
911 7 AVENUE,12,75,77,100,125,100,115,1909,E,0,0
223 EAST 82 STREET,5,20,21,25,102.17,25,65,1930,E,0,0
49 WEST 70 STREET,4,5,5,20,100.42,20,70,1900,,2000,2000
40 WEST 23 STREET,12,0,25,334,197.5,334,197.5,1911,,1982,2012
322 EAST 77 STREET,4,3,3,25,102.17,25,53,1910,E,0,0
311 EAST 10 STREET,4,10,10,25,94.75,25,74,1900,E,1987,0
568 AVENUE OF THE AMER,15,119,121,51.58,165,52,151,1955,,1988,0
138 EAST 13 STREET,4,2,2,20,51,20,30,1899,E,0,0
433 WEST 34 STREET,20,210,213,116.67,98.75,111,78,1930,,0,0
343 ST NICHOLAS AVENUE,6,50,56,111,89,106,84,1926,,1988,0
990 PARK AVENUE,6,0,3,90.83,275.25,91,270,1898,,0,0
229 EAST 9 STREET,2,0,2,25,61.67,25,59,1900,E,1997,0
95 BOWERY,3,16,26,25.17,102.33,25,48,1910,E,0,0
75 EAST 111 STREET,0,0,0,46.75,100.92,0,0,0,,0,0
122 EAST 27 STREET,3,8,9,25,98.75,25,67,1920,E,2011,0
1026 5 AVENUE,6,0,1,36.5,100,37,98,1910,E,0,0
123 WEST 86 STREET,4,8,9,20,100.67,20,91,1900,E,0,0
341 WEST 87 STREET,5,9,9,20,100.67,20,73,1910,E,1988,0
40 WEST 20 STREET,12,0,3,107.67,92,108,0,1920,E,0,0
622 WEST 135 STREET,5,60,60,115.92,99.92,114,84,1926,,1982,0
131 CHARLES STREET,3,3,3,25,97.25,25,36,1899,E,0,0
