Address,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,YearBuilt,BuiltCode,YearAlter1,YearAlter2
2180 BROADWAY,20,181,183,103.25,115.8,0,0,2012,,0,0
848 WASHINGTON STREET,19,0,1,206.5,200,70,210,2006,,0,0
35 ESSEX STREET,9,30,31,50,87.5,50,87.5,1910,E,2003,2003
338 EAST 5 STREET,5,20,20,25,96.17,25,86,1900,E,1987,0
345 PARK AVENUE,44,0,30,200.83,405,194,392,1969,,0,0
343 WEST 12 STREET,5,11,11,22,80,22,49,1900,E,1952,0
435 EAST 9 STREET,4,22,24,25,92.25,25,42,1900,E,1986,0
226 EAST 85 STREET,6,22,24,25,102.17,25,89,1910,E,1996,0
217 WEST 115 STREET,5,10,10,20,100.92,20,70,1900,E,0,0
1854 2 AVENUE,6,25,27,25.67,100,25,85,1926,E,1986,0
212 EAST 78 STREET,3,1,1,13.33,102.17,13.33,50,1899,E,0,0
355 WEST 46 STREET,3,16,17,20,100.42,20,50,1920,E,0,0
2374 AMSTERDAM AVENUE,5,18,21,40.33,100,40,86,1906,,1988,0
34 MULBERRY STREET,6,27,28,67.58,84.42,68,73,1915,E,0,0
336 WEST 14 STREET,4,18,18,30,103.25,15,60,1900,E,0,0
13 OLD BROADWAY,2,0,1,25.08,100,25.08,100,1901,,0,0
41 EAST 63 STREET,4,0,1,18,100.42,18,70,1920,E,0,0
3 EAST 78 STREET,6,12,13,35,100.16,0,0,1910,,0,0
387 WEST END AVENUE,3,1,1,16.33,83.17,16.33,60,1901,E,2007,0
2 SOUTH END AVENUE,9,163,165,199,150,0,0,1990,,0,0
459 WEST 44 STREET,6,3,3,20,75.25,20,48,1920,E,2005,2005
35 EAST 29 STREET,4,3,3,21.33,98.75,21,54,1910,,0,0
125 EAST 10 STREET,4,1,1,14,94.58,14,60,1901,E,2008,0
292 AVENUE C,1,0,1,171.5,324.67,25,30,1920,E,0,0
30 EAST 130 STREET,3,2,2,16.87,99.92,17,50,1900,,2012,0
9 WEST 103 STREET,5,8,8,18,100.92,18,88,1915,E,0,0
327 EAST 90 STREET,5,59,59,100,100.67,100,70,1930,E,1987,0
156 EAST 33 STREET,4,4,5,37.5,25,38,25,1910,E,2013,0
231 WEST 14 STREET,5,0,2,25,120,25,61,1920,E,1985,0
202 WEST 122 STREET,3,3,3,15,100.92,15,50,1910,E,1999,0
1 WEST 121 STREET,4,4,4,22,75.92,22,50,1909,,1999,0
222 WEST 22 STREET,3,1,1,20,98.75,20,41,1901,E,1950,0
210 EDGECOMBE AVENUE,3,2,2,17.75,67.83,17.75,42,1901,E,1998,0
217 WEST 13 STREET,4,5,5,21,75,21,47,1915,E,0,0
74 POST AVENUE,6,66,66,150,150,150,100,1925,,0,0
152 AVENUE D,7,743,743,422.5,722.5,170.83,90.83,1950,E,0,0
239 WEST 123 STREET,3,4,4,16.67,100.92,17,65,1910,E,0,0
2274 2 AVENUE,4,11,13,50.42,84.83,49,83,1900,E,0,0
52 WEST 10 STREET,2.5,2,2,21.42,92.25,21.42,74,1899,E,0,0
178 EAST 95 STREET,3,3,3,18.75,100.67,18.75,48,1899,E,0,0
126 WEST 83 STREET,5,72,74,139.71,102.17,140,82,1905,E,1983,0
2027 ADAM C POWELL BLVD,5,45,45,37.5,92,37.5,75,1910,E,2004,0
359 WEST 117 STREET,3,2,2,16.67,100.92,16.67,50,1899,E,0,0
501 1/2 EAST 83 STREET,5,11,13,24,76.5,24,58,1910,E,1986,0
331 EAST 17 STREET,4,12,12,23.17,92,23.17,55,1910,,1987,2004
242 EAST 25 STREET,13,54,54,58,98.75,58,75,2004,,0,0
51 EAST 130 STREET,3,3,3,18.75,99.92,19,44,1926,,1997,0
29 UNION SQUARE,5,0,20,65,141.83,62,142,1959,,0,0
266 BOWERY,4,3,4,16.33,98.75,16,89,1920,E,0,0
45 WEST 55 STREET,5,10,12,37.5,100.42,38,100,1939,,1987,0
41 WEST 46 STREET,5,7,8,20,100.42,20,93,1920,,2000,0
109 EAST 38 STREET,4,3,5,25,98.75,25,99,1920,E,1984,0
134 WEST 113 STREET,5,11,11,27,100.92,27,84,1910,E,1997,0
348 EAST 66 STREET,6,39,41,50,100.42,50,86,1930,E,1987,0
210 EAST 77 STREET,9,0,2,60,102.17,60,102,1927,,2004,0
430 WEST 36 STREET,0,0,0,25,98.75,0,0,0,,0,0
124 WEST 81 STREET,4,10,10,20,102.17,20,77,1900,E,0,0
108 EAST 124 STREET,0,0,0,25,100.92,0,0,0,,0,0
42 7 AVENUE,4,0,1,68,100,68,100,1931,,1985,0
236 EAST 77 STREET,6,16,17,25,102.17,25,84,1910,E,0,0
161 WEST 105 STREET,5,20,20,50.25,100.92,50,84,1930,E,0,0
90 PARK TERRACE EAST,6,49,49,100,100,100,78,1949,E,1989,0
